ID,Title,Description,URL,Format,Tags,Tone,Audience,Source,Language,combined,clean
1,How to Manage Fear and Anxiety,Comprehensive guide explaining the origins of fear and anxiety with practical coping strategies for daily life.,https://www.mentalhealth.org.uk/explore-mental-health/publications/how-overcome-anxiety-and-fear,Guide,anxiety|coping|fear|mental-health,supportive,all,Mental Health Foundation,English,How to Manage Fear and Anxiety Comprehensive guide explaining the origins of fear and anxiety with practical coping strategies for daily life. anxiety|coping|fear|mental-health Guide supportive all English,manag fear anxieti comprehens guid explain origin fear anxieti practic cope strategi daili life anxieti cope fear mental health guid support english
42,MMHA Mental Health First Aid Training,Evidence-based mental health first aid training courses for adults and adolescents in Malaysia.,https://mmha.org.my/education-training/mhfa-courses,Guide,training|first-aid|mental-health|malaysia,informative,all,MMHA,English,MMHA Mental Health First Aid Training Evidence-based mental health first aid training courses for adults and adolescents in Malaysia. training|first-aid|mental-health|malaysia Guide informative all English,mmha mental health first aid train evid base mental health first aid train cours adult adolesc malaysia train first aid mental health malaysia guid inform english
45,PT Foundation Peer Listening Helpline,Malaysian peer listening service providing safe supportive space for mental health and HIV-related concerns.,https://www.facebook.com/ptfmalaysia/,Helpline,support|peer-listening|malaysia|lgbtq,supportive,all,PT Foundation,English,PT Foundation Peer Listening Helpline Malaysian peer listening service providing safe supportive space for mental health and HIV-related concerns. support|peer-listening|malaysia|lgbtq Helpline supportive all English,pt foundat peer listen helplin malaysian peer listen servic provid safe support space mental health hiv relat concern support peer listen malaysia lgbtq helplin support english
48,IMU Mental Health Careline,24/7 mental health support specifically for IMU university students in Malaysia.,https://www.imu.edu.my/support-services/student-counselling-services/contact-us/,Helpline,crisis|students|university|malaysia,urgent,students,IMU University,English,IMU Mental Health Careline 24/7 mental health support specifically for IMU university students in Malaysia. crisis|students|university|malaysia Helpline urgent students English,imu mental health carelin 24 7 mental health support specif imu univers student malaysia crisi student univers malaysia helplin urgent student english
49,Understanding Youth Depression,Educational guide about recognizing symptoms causes and treatment of depression in teenagers.,https://www.moh.gov.my/,Article,depression|youth|symptoms|education,informative,young_adults,MOH Malaysia,English,Understanding Youth Depression Educational guide about recognizing symptoms causes and treatment of depression in teenagers. depression|youth|symptoms|education Article informative young_adults English,understand youth depress educ guid recogn symptom caus treatment depress teenag depress youth symptom educ articl inform young adult english
50,Recognizing Anxiety in Teenagers,Parent and teacher guide to identifying anxiety symptoms in youth and supporting their mental health.,https://www.moh.gov.my/,Article,anxiety|youth|symptoms|education,informative,young_adults,MOH Malaysia,English,Recognizing Anxiety in Teenagers Parent and teacher guide to identifying anxiety symptoms in youth and supporting their mental health. anxiety|youth|symptoms|education Article informative young_adults English,recogn anxieti teenag parent teacher guid identifi anxieti symptom youth support mental health anxieti youth symptom educ articl inform young adult english
51,Exam Stress and Anxiety Management,Resources specifically addressing academic stress and anxiety during examination periods for students.,https://www.moh.gov.my/,Article,stress|anxiety|students|exams,supportive,students,KKM,Malay,Exam Stress and Anxiety Management Resources specifically addressing academic stress and anxiety during examination periods for students. stress|anxiety|students|exams Article supportive students Malay,exam stress anxieti manag resourc specif address academ stress anxieti examin period student stress anxieti student exam articl support student malay
52,Cyberbullying and Mental Health Impact,Article examining how cyberbullying affects youth mental health with coping strategies and resources.,https://www.unicef.org/malaysia/,Article,bullying|depression|youth|digital,urgent,young_adults,UNICEF Malaysia,English,Cyberbullying and Mental Health Impact Article examining how cyberbullying affects youth mental health with coping strategies and resources. bullying|depression|youth|digital Article urgent young_adults English,cyberbulli mental health impact articl examin cyberbulli affect youth mental health cope strategi resourc bulli depress youth digit articl urgent young adult english
53,Social Media and Mental Health Guide,Youth guide to maintaining healthy social media habits and protecting mental wellbeing online.,https://www.unicef.org/malaysia/,Article,social-media|anxiety|youth|digital-wellbeing,informative,young_adults,UNICEF Malaysia,English,Social Media and Mental Health Guide Youth guide to maintaining healthy social media habits and protecting mental wellbeing online. social-media|anxiety|youth|digital-wellbeing Article informative young_adults English,social media mental health guid youth guid maintain healthi social media habit protect mental wellb onlin social media anxieti youth digit wellb articl inform young adult english
54,Self-Esteem Building for Teens,Resources and activities to help teenagers improve self-confidence and develop positive self-image.,https://mindmattersmy.org/,Article,self-esteem|youth|confidence|wellbeing,supportive,young_adults,Mind Matters Network,English,Self-Esteem Building for Teens Resources and activities to help teenagers improve self-confidence and develop positive self-image. self-esteem|youth|confidence|wellbeing Article supportive young_adults English,self esteem build teen resourc activ help teenag improv self confid develop posit self imag self esteem youth confid wellb articl support young adult english
55,Talking to Parents About Mental Health,Youth guide providing tips on how to initiate conversations about mental health with parents and caregivers.,https://mindmattersmy.org/,Article,communication|youth|family|support,supportive,young_adults,Mind Matters Network,English,Talking to Parents About Mental Health Youth guide providing tips on how to initiate conversations about mental health with parents and caregivers. communication|youth|family|support Article supportive young_adults English,talk parent mental health youth guid provid tip initi convers mental health parent caregiv commun youth famili support articl support young adult english
56,Mindfulness for Malaysian Youth,Introduction to mindfulness practices specifically adapted for Malaysian teenagers and young adults.,https://mmha.org.my/,Article,mindfulness|youth|malaysia|meditation,calm,young_adults,MMHA,English,Mindfulness for Malaysian Youth Introduction to mindfulness practices specifically adapted for Malaysian teenagers and young adults. mindfulness|youth|malaysia|meditation Article calm young_adults English,mind malaysian youth introduct mind practic specif adapt malaysian teenag young adult mind youth malaysia medit articl calm young adult english
57,Breathing Exercises for Anxiety Relief,Quick and effective breathing techniques to manage anxiety and panic in the moment.,https://www.moh.gov.my/,Guide,breathing|anxiety|techniques|relief,calm,all,KKM,Malay,Breathing Exercises for Anxiety Relief Quick and effective breathing techniques to manage anxiety and panic in the moment. breathing|anxiety|techniques|relief Guide calm all Malay,breath exercis anxieti relief quick effect breath techniqu manag anxieti panic moment breath anxieti techniqu relief guid calm malay
58,Journaling for Mental Health,Guide to therapeutic writing and journaling as a tool for processing emotions and improving mental health.,https://mindmattersmy.org/,Article,journaling|self-care|depression|coping,supportive,young_adults,Mind Matters Network,English,Journaling for Mental Health Guide to therapeutic writing and journaling as a tool for processing emotions and improving mental health. journaling|self-care|depression|coping Article supportive young_adults English,journal mental health guid therapeut write journal tool process emot improv mental health journal self care depress cope articl support young adult english
59,Physical Activity and Mental Health,Article explaining the connection between exercise physical activity and improved mental wellbeing.,https://www.moh.gov.my/,Article,exercise|wellness|mental-health|mood,informative,all,KKM,Malay,Physical Activity and Mental Health Article explaining the connection between exercise physical activity and improved mental wellbeing. exercise|wellness|mental-health|mood Article informative all Malay,physic activ mental health articl explain connect exercis physic activ improv mental wellb exercis well mental health mood articl inform malay
60,Building Resilience in Youth,Guide to developing coping skills emotional resilience and mental strength in young people.,https://mindmattersmy.org/,Article,resilience|youth|coping|skills,supportive,young_adults,Mind Matters Network,English,Building Resilience in Youth Guide to developing coping skills emotional resilience and mental strength in young people. resilience|youth|coping|skills Article supportive young_adults English,build resili youth guid develop cope skill emot resili mental strength young peopl resili youth cope skill articl support young adult english
61,Sleep Problems in Adolescents,Article exploring the connection between sleep difficulties and mental health in teenagers with solutions.,https://www.moh.gov.my/,Article,sleep|youth|insomnia|mental-health,informative,young_adults,MOH Malaysia,English,Sleep Problems in Adolescents Article exploring the connection between sleep difficulties and mental health in teenagers with solutions. sleep|youth|insomnia|mental-health Article informative young_adults English,sleep problem adolesc articl explor connect sleep difficulti mental health teenag solut sleep youth insomnia mental health articl inform young adult english
62,Academic Pressure Management,Strategies for coping with educational stress and maintaining mental health during demanding academic periods.,https://mindmattersmy.org/,Article,stress|students|academic|coping,supportive,students,Mind Matters Network,English,Academic Pressure Management Strategies for coping with educational stress and maintaining mental health during demanding academic periods. stress|students|academic|coping Article supportive students English,academ pressur manag strategi cope educ stress maintain mental health demand academ period stress student academ cope articl support student english
63,Suicide Warning Signs Recognition,Critical information on recognizing warning signs of suicide and how to respond appropriately.,https://www.befrienders.org.my/,Article,suicide|prevention|crisis|warning-signs,urgent,all,Befrienders KL,English,Suicide Warning Signs Recognition Critical information on recognizing warning signs of suicide and how to respond appropriately. suicide|prevention|crisis|warning-signs Article urgent all English,suicid warn sign recognit critic inform recogn warn sign suicid respond appropri suicid prevent crisi warn sign articl urgent english
64,Coping with Grief and Loss,Youth-focused guide to processing grief understanding loss and maintaining mental health during bereavement.,https://mmha.org.my/,Article,grief|loss|depression|coping,supportive,young_adults,MMHA,English,Coping with Grief and Loss Youth-focused guide to processing grief understanding loss and maintaining mental health during bereavement. grief|loss|depression|coping Article supportive young_adults English,cope grief loss youth focus guid process grief understand loss maintain mental health bereav grief loss depress cope articl support young adult english
65,Mental Health Stigma Reduction,Article addressing stigma around mental illness and encouraging open conversations about mental health.,https://mmha.org.my/,Article,stigma|awareness|mental-health|education,informative,all,MMHA,English,Mental Health Stigma Reduction Article addressing stigma around mental illness and encouraging open conversations about mental health. stigma|awareness|mental-health|education Article informative all English,mental health stigma reduct articl address stigma around mental ill encourag open convers mental health stigma awar mental health educ articl inform english
66,Affordable Mental Health Services Malaysia,Comprehensive guide to finding low-cost and free mental health resources throughout Malaysia.,https://miasa.org.my/,Article,resources|malaysia|affordable|support,informative,all,MIASA,English,Affordable Mental Health Services Malaysia Comprehensive guide to finding low-cost and free mental health resources throughout Malaysia. resources|malaysia|affordable|support Article informative all English,afford mental health servic malaysia comprehens guid find low cost free mental health resourc throughout malaysia resourc malaysia afford support articl inform english
68,Self-Harm Support Resources,Information and support resources for individuals struggling with self-harm behaviors and urges.,https://miasa.org.my/,Article,self-harm|crisis|support|youth,urgent,young_adults,MIASA,English,Self-Harm Support Resources Information and support resources for individuals struggling with self-harm behaviors and urges. self-harm|crisis|support|youth Article urgent young_adults English,self harm support resourc inform support resourc individu struggl self harm behavior urg self harm crisi support youth articl urgent young adult english
69,Relationship Problems and Wellbeing,Article examining how relationship difficulties impact mental health with coping strategies and support.,https://relate.com.my/,Article,relationships|anxiety|stress|support,supportive,young_adults,Relate,English,Relationship Problems and Wellbeing Article examining how relationship difficulties impact mental health with coping strategies and support. relationships|anxiety|stress|support Article supportive young_adults English,relationship problem wellb articl examin relationship difficulti impact mental health cope strategi support relationship anxieti stress support articl support young adult english
70,LGBTQ+ Mental Health Support Malaysia,Mental health resources and support specifically for LGBTQ+ youth in Malaysia.,https://www.ptfmalaysia.org/,Article,lgbtq|depression|youth|malaysia,supportive,young_adults,PT Foundation,English,LGBTQ+ Mental Health Support Malaysia Mental health resources and support specifically for LGBTQ+ youth in Malaysia. lgbtq|depression|youth|malaysia Article supportive young_adults English,lgbtq mental health support malaysia mental health resourc support specif lgbtq youth malaysia lgbtq depress youth malaysia articl support young adult english
71,Progressive Muscle Relaxation Guide,Step-by-step guide to progressive muscle relaxation technique for reducing physical tension and anxiety.,https://www.anxietycanada.com/articles/progressive-muscle-relaxation/,Guide,relaxation|anxiety|stress|tension,calm,all,Anxiety Canada,English,Progressive Muscle Relaxation Guide Step-by-step guide to progressive muscle relaxation technique for reducing physical tension and anxiety. relaxation|anxiety|stress|tension Guide calm all English,progress muscl relax guid step step guid progress muscl relax techniqu reduc physic tension anxieti relax anxieti stress tension guid calm english
72,Cognitive Behavioral Therapy Basics,Introduction to CBT principles and how they help manage anxiety depression and negative thinking patterns.,https://www.apa.org/ptsd-guideline/patients-and-families/cognitive-behavioral,Article,cbt|therapy|depression|anxiety,informative,all,APA,English,Cognitive Behavioral Therapy Basics Introduction to CBT principles and how they help manage anxiety depression and negative thinking patterns. cbt|therapy|depression|anxiety Article informative all English,cognit behavior therapi basic introduct cbt principl help manag anxieti depress neg think pattern cbt therapi depress anxieti articl inform english
73,Sleep Hygiene Tips for Better Rest,Evidence-based strategies for improving sleep habits and creating optimal bedroom environment for rest.,https://www.sleepfoundation.org/sleep-hygiene,Article,sleep|insomnia|rest|habits,informative,all,Sleep Foundation,English,Sleep Hygiene Tips for Better Rest Evidence-based strategies for improving sleep habits and creating optimal bedroom environment for rest. sleep|insomnia|rest|habits Article informative all English,sleep hygien tip better rest evid base strategi improv sleep habit creat optim bedroom environ rest sleep insomnia rest habit articl inform english
74,Dealing with Loneliness,Practical strategies for coping with feelings of loneliness and building meaningful social connections.,https://www.mentalhealth.org.uk/explore-mental-health/publications/how-overcome-loneliness,Article,loneliness|connection|depression|support,supportive,all,Mental Health Foundation,English,Dealing with Loneliness Practical strategies for coping with feelings of loneliness and building meaningful social connections. loneliness|connection|depression|support Article supportive all English,deal loneli practic strategi cope feel loneli build meaning social connect loneli connect depress support articl support english
75,Body Scan Meditation (Audio),Guided body scan meditation for relaxation stress relief and developing mind-body awareness.,https://www.uclahealth.org/programs/marc/free-guided-meditations/guided-meditations,Audio,meditation|relaxation|mindfulness|stress,calm,all,UCLA Health,English,Body Scan Meditation (Audio) Guided body scan meditation for relaxation stress relief and developing mind-body awareness. meditation|relaxation|mindfulness|stress Audio calm all English,bodi scan medit audio guid bodi scan medit relax stress relief develop mind bodi awar medit relax mind stress audio calm english
76,10-Minute Meditation for Beginners,Short guided meditation perfect for those new to mindfulness practice and stress reduction.,https://www.youtube.com/watch?v=U9YKY7fdwyg,Video,meditation|mindfulness|beginners|stress,calm,all,Goodful,English,10-Minute Meditation for Beginners Short guided meditation perfect for those new to mindfulness practice and stress reduction. meditation|mindfulness|beginners|stress Video calm all English,10 minut medit beginn short guid medit perfect new mind practic stress reduct medit mind beginn stress video calm english
77,Understanding Panic Attacks,Comprehensive explanation of panic attacks including symptoms triggers and effective coping strategies.,https://adaa.org/understanding-anxiety/panic-disorder,Article,panic|anxiety|symptoms|coping,informative,all,ADAA,English,Understanding Panic Attacks Comprehensive explanation of panic attacks including symptoms triggers and effective coping strategies. panic|anxiety|symptoms|coping Article informative all English,understand panic attack comprehens explan panic attack includ symptom trigger effect cope strategi panic anxieti symptom cope articl inform english
78,Social Anxiety Survival Guide,Practical tips and strategies for managing social anxiety in everyday situations and social interactions.,https://www.anxietycanada.com/articles/social-anxiety-disorder/,Article,social-anxiety|coping|confidence|support,supportive,young_adults,Anxiety Canada,English,Social Anxiety Survival Guide Practical tips and strategies for managing social anxiety in everyday situations and social interactions. social-anxiety|coping|confidence|support Article supportive young_adults English,social anxieti surviv guid practic tip strategi manag social anxieti everyday situat social interact social anxieti cope confid support articl support young adult english
80,Self-Compassion Exercises,Guided exercises to develop self-compassion and reduce self-criticism for improved mental wellbeing.,https://self-compassion.org/category/exercises/,Guide,self-compassion|wellbeing|self-care|kindness,calm,all,Center for Self-Compassion,English,Self-Compassion Exercises Guided exercises to develop self-compassion and reduce self-criticism for improved mental wellbeing. self-compassion|wellbeing|self-care|kindness Guide calm all English,self compass exercis guid exercis develop self compass reduc self critic improv mental wellb self compass wellb self care kind guid calm english
81,Anxiety Relief Podcast,Weekly podcast discussing anxiety management techniques coping strategies and mental health insights.,https://www.tenpercent.com/podcast,Audio,anxiety|podcast|coping|mindfulness,supportive,all,Ten Percent Happier,English,Anxiety Relief Podcast Weekly podcast discussing anxiety management techniques coping strategies and mental health insights. anxiety|podcast|coping|mindfulness Audio supportive all English,anxieti relief podcast weekli podcast discuss anxieti manag techniqu cope strategi mental health insight anxieti podcast cope mind audio support english
82,Depression: What You Need to Know,Clear explanation of depression types causes symptoms and available treatment options from experts.,https://www.nimh.nih.gov/health/publications/depression,Guide,depression|education|symptoms|treatment,informative,all,NIMH,English,Depression: What You Need to Know Clear explanation of depression types causes symptoms and available treatment options from experts. depression|education|symptoms|treatment Guide informative all English,depress need know clear explan depress type caus symptom avail treatment option expert depress educ symptom treatment guid inform english
